order_id,order_date,customer_id,customer_city,channel,category,product_name,quantity,unit_price,unit_cost,discount_pct,payment_method,returned,revenue,profit,order_year,order_month
703339,2024-10-28,C102125,Karachi,Online,Jeans,Straight Leg Jeans,1,3310,1860,10,COD,No,2979.0,1119.0,2024,2024-10
702995,2023-12-24,C101797,Karachi,Online,Accessories,Sunglasses,1,2130,1160,0,Card,No,2130.0,970.0,2023,2023-12
704797,2024-08-12,C101615,Lahore,Online,T-Shirts,Polo Shirt,1,2300,1330,15,Wallet,No,1955.0,625.0,2024,2024-08
704872,2025-06-23,C101730,Sialkot,Online,Shoes,Sneakers,2,4580,2890,10,COD,No,8244.0,2464.0,2025,2025-06
702330,2025-05-21,C101466,Unknown,Store,Accessories,Sunglasses,1,2240,1320,10,Wallet,No,2016.0,696.0,2025,2025-05
704720,2025-03-30,C100948,Multan,Online,Accessories,Sunglasses,2,2170,1200,15,COD,No,3689.0,1289.0,2025,2025-03
700434,2024-01-28,C101865,Multan,Online,T-Shirts,Classic Cotton Tee,3,1230,690,0,COD,No,3690.0,1620.0,2024,2024-01
704224,2025-06-26,C101235,Lahore,Online,Accessories,Leather Belt,3,1220,570,0,COD,No,3660.0,1950.0,2025,2025-06
703956,2024-09-05,C100537,Lahore,Online,Jeans,High-Waist Jeans,1,4310,2600,0,COD,No,4310.0,1710.0,2024,2024-09
703969,2023-09-25,C101780,Lahore,Online,Shoes,Sneakers,1,4380,2540,10,Card,No,3942.0,1402.0,2023,2023-09
701468,2023-12-29,C101016,Rawalpindi,Store,Kurtas,Cotton Kurta,1,1880,1070,20,COD,No,1504.0,434.0,2023,2023-12
703765,2024-10-12,C100520,Multan,Online,Accessories,Tote Bag,1,1560,870,0,COD,No,1560.0,690.0,2024,2024-10
701951,2024-02-18,C100475,Karachi,Store,T-Shirts,Classic Cotton Tee,1,1150,700,0,COD,No,1150.0,450.0,2024,2024-02
702254,2023-09-18,C102138,Faisalabad,Store,Dresses,Bodycon Dress,1,4030,2100,0,COD,No,4030.0,1930.0,2023,2023-09
704417,2023-09-14,C100691,Peshawar,Online,Kurtas,Cotton Kurta,1,1960,1220,0,Card,No,1960.0,740.0,2023,2023-09
704894,2024-05-14,C100875,Peshawar,Store,Dresses,Bodycon Dress,1,3830,1750,0,Card,No,3830.0,2080.0,2024,2024-05
701879,2024-07-12,C101732,Faisalabad,Store,Dresses,Bodycon Dress,2,4000,2500,0,COD,Yes,8000.0,3000.0,2024,2024-07
705026,2025-04-14,C101493,Faisalabad,Store,Jeans,Slim Fit Jeans,3,3660,2310,20,COD,Yes,8784.0,1854.0,2025,2025-04
701861,2023-07-07,C101838,Faisalabad,Store,Accessories,Tote Bag,2,1640,1000,15,Bank Transfer,No,2788.0,788.0,2023,2023-07
701223,2024-09-14,C100544,Lahore,Online,Shoes,Boots,1,6200,3460,0,Card,No,6200.0,2740.0,2024,2024-09
702968,2023-11-18,C101366,Lahore,Online,Kurtas,Embroidered Kurta,1,2860,1330,0,Bank Transfer,No,2860.0,1530.0,2023,2023-11
701042,2024-05-14,C101009,Unknown,Online,T-Shirts,Classic Cotton Tee,1,1220,670,20,Wallet,No,976.0,306.0,2024,2024-05
701904,2025-04-17,C101690,Faisalabad,Online,T-Shirts,Classic Cotton Tee,3,1280,740,10,COD,No,3456.0,1236.0,2025,2025-04
702354,2025-05-22,C100715,Lahore,Store,T-Shirts,Graphic Print Tee,3,1600,820,0,Wallet,No,4800.0,2340.0,2025,2025-05
704489,2023-12-27,C100061,Karachi,Store,Accessories,Sunglasses,3,2180,1220,10,Bank Transfer,No,5886.0,2226.0,2023,2023-12
700447,2024-08-07,C101749,Karachi,Store,T-Shirts,Graphic Print Tee,2,1590,830,0,Bank Transfer,No,3180.0,1520.0,2024,2024-08
702744,2025-01-19,C100306,Karachi,Store,Kurtas,Cotton Kurta,2,1870,1210,0,Wallet,No,3740.0,1320.0,2025,2025-01
701966,2024-10-12,C102000,Multan,Store,Shoes,Boots,1,6850,3400,0,COD,No,6850.0,3450.0,2024,2024-10
701886,2024-04-25,C100183,Karachi,Store,T-Shirts,Oversized Tee,1,1840,900,0,Card,No,1840.0,940.0,2024,2024-04
702128,2024-02-07,C102197,Islamabad,Store,Jeans,Straight Leg Jeans,3,3190,1460,0,Bank Transfer,No,9570.0,5190.0,2024,2024-02
700340,2025-01-29,C101279,Islamabad,Online,Jeans,Ripped Jeans,1,3860,1860,10,Card,No,3474.0,1614.0,2025,2025-01
704742,2024-04-25,C102157,Karachi,Store,Kurtas,Embroidered Kurta,1,2870,1570,10,Card,No,2583.0,1013.0,2024,2024-04
704133,2025-06-12,C102128,Lahore,Online,T-Shirts,Oversized Tee,1,1790,1160,0,Bank Transfer,No,1790.0,630.0,2025,2025-06
703449,2023-07-22,C100171,Islamabad,Online,Dresses,Wrap Dress,1,4170,2670,0,COD,No,4170.0,1500.0,2023,2023-07
700337,2025-03-18,C100256,Faisalabad,Store,T-Shirts,Oversized Tee,3,1870,980,0,Card,No,5610.0,2670.0,2025,2025-03
701183,2024-03-13,C101639,Rawalpindi,Online,Jeans,Slim Fit Jeans,2,3510,2200,10,COD,No,6318.0,1918.0,2024,2024-03
703749,2025-02-06,C101529,Karachi,Store,Jackets,Hooded Jacket,1,4680,2990,0,Card,No,4680.0,1690.0,2025,2025-02
701709,2023-12-10,C102042,Islamabad,Store,Jackets,Hooded Jacket,1,4690,2720,0,COD,No,4690.0,1970.0,2023,2023-12
703043,2024-01-09,C102054,Karachi,Store,Shoes,Sneakers,1,4660,2760,0,Wallet,No,4660.0,1900.0,2024,2024-01
703832,2023-07-09,C100200,Faisalabad,Online,Shoes,Sneakers,1,4650,2900,0,Bank Transfer,Yes,4650.0,1750.0,2023,2023-07
