order_id,order_date,customer_id,customer_city,channel,category,product_name,quantity,unit_price,unit_cost,discount_pct,payment_method,returned
703339,2024-10-28,C102125,Karachi,Online,Jeans,Straight Leg Jeans,1,3310,1860,10,COD,No
702995,2023-12-24,C101797,Karachi,Online,Accessories,Sunglasses,1,2130,1160,0,Card,No
704797,2024-08-12,C101615,Lahore,Online,T-Shirts,Polo Shirt,1,2300,1330,15,Wallet,No
704872,2025-06-23,C101730,Sialkot,Online,Shoes,Sneakers,2,4580,2890,10,COD,No
702330,2025-05-21,C101466,,Store,Accessories,Sunglasses,1,2240,1320,10,Wallet,No
704720,2025-03-30,C100948,Multan,Online,Accessories,Sunglasses,2,2170,1200,15,COD,No
700434,2024-01-28,C101865,Multan,Online,T-Shirts,Classic Cotton Tee,3,1230,690,0,COD,No
704224,2025-06-26,C101235,Lahore,Online,Accessories,Leather Belt,3,1220,570,0,COD,No
703956,2024-09-05,C100537,Lahore,Online,Jeans,High-Waist Jeans,1,4310,2600,0,COD,No
703969,2023-09-25,C101780,Lahore,Online,Shoes,Sneakers  ,1,4380,2540,10,Card,No
701468,2023-12-29,C101016,Rawalpindi,Store,Kurtas,Cotton Kurta,1,1880,1070,20,COD,No
703765,2024-10-12,C100520,Multan,Online,Accessories,Tote Bag,1,1560,870,0,COD,No
701951,2024-02-18,C100475,Karachi,Store,T-Shirts,Classic Cotton Tee,1,1150,700,0,COD,No
702254,2023-09-18,C102138,Faisalabad,Store,Dresses,Bodycon Dress,1,4030,2100,0,COD,No
704417,2023-09-14,C100691,Peshawar,Online,Kurtas,Cotton Kurta,1,1960,1220,0,Card,No
704894,2024-05-14,C100875,Peshawar,Store,Dresses,Bodycon Dress,1,3830,1750,0,Card,No
701879,2024-07-12,C101732,Faisalabad,Store,Dresses,Bodycon Dress,2,4000,2500,0,COD,Yes
705026,2025-04-14,C101493,Faisalabad,Store,Jeans,Slim Fit Jeans,3,3660,2310,20,COD,Yes
701861,2023-07-07,C101838,Faisalabad,Store,Accessories,Tote Bag,2,1640,1000,15,Bank Transfer,No
701223,2024-09-14,C100544,Lahore,Online,Shoes,Boots,1,6200,3460,0,Card,No
